0.45*0(0),0.3*3(0),0.15*1(0),0.1*31(0),0.045*10(0),0.015*0(0)
0.45*0(0),0.3*2(0),0.15*3(0),0.1*27(0),0.045*13(0),0.015*0(0)
0.45*0(0),0.3*8(0),0.15*5(0),0.1*28(0),0.045*19(3),0.015*0(0)
0.45*0(0),0.3*3(0),0.15*0(0),0.1*27(0),0.045*27(0),0.015*0(0)
0.45*0(0),0.3*3(0),0.15*1(0),0.1*36(0),0.045*7(0),0.015*0(0)
0.45*0(0),0.3*3(0),0.15*0(0),0.1*13(0),0.045*20(0),0.015*0(0)
0.45*1(0),0.3*5(0),0.15*4(0),0.1*25(0),0.045*29(0),0.015*0(0)
0.45*0(0),0.3*8(0),0.15*1(0),0.1*32(0),0.045*16(0),0.015*0(0)
0.45*0(0),0.3*1(0),0.15*1(0),0.1*39(0),0.045*22(0),0.015*0(0)
0.45*0(0),0.3*2(0),0.15*9(0),0.1*21(0),0.045*22(0),0.015*0(0)
0.45*0(0),0.3*1(0),0.15*9(0),0.1*33(0),0.045*11(0),0.015*0(0)
0.45*0(0),0.3*1(0),0.15*0(0),0.1*26(0),0.045*16(0),0.015*0(0)
0.45*0(0),0.3*1(0),0.15*1(0),0.1*24(0),0.045*13(0),0.015*0(0)
0.45*0(0),0.3*0(0),0.15*8(0),0.1*6(0),0.045*5(0),0.015*0(0)
0.45*0(0),0.3*2(0),0.15*7(0),0.1*3(0),0.045*20(0),0.015*0(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*29(0),0.045*6(0),0.015*0(0)
0.45*0(0),0.3*2(0),0.15*0(0),0.1*17(0),0.045*12(0),0.015*0(0)
0.45*0(0),0.3*1(0),0.15*0(0),0.1*47(0),0.045*12(0),0.015*0(0)
0.45*0(0),0.3*2(0),0.15*7(0),0.1*44(1),0.045*15(0),0.015*0(0)
0.45*0(0),0.3*0(0),0.15*2(0),0.1*56(0),0.045*9(0),0.015*0(0)
0.45*0(0),0.3*1(0),0.15*1(0),0.1*44(0),0.045*27(0),0.015*0(0)
0.45*0(0),0.3*1(0),0.15*2(0),0.1*46(0),0.045*20(0),0.015*0(0)
0.45*0(0),0.3*4(0),0.15*0(0),0.1*42(0),0.045*25(0),0.015*0(0)
0.45*0(0),0.3*1(0),0.15*0(0),0.1*32(0),0.045*29(0),0.015*0(0)
0.45*0(0),0.3*1(0),0.15*2(0),0.1*57(0),0.045*17(0),0.015*0(0)
0.45*0(0),0.3*1(0),0.15*1(0),0.1*40(0),0.045*24(0),0.015*0(0)
0.45*0(0),0.3*0(0),0.15*11(0),0.1*30(0),0.045*25(0),0.015*0(0)
0.45*0(0),0.3*1(0),0.15*1(0),0.1*44(0),0.045*16(0),0.015*0(0)
0.45*0(0),0.3*0(0),0.15*1(0),0.1*55(0),0.045*39(0),0.015*0(0)
0.45*0(0),0.3*2(0),0.15*0(0),0.1*34(0),0.045*29(0),0.015*0(0)
0.45*0(0),0.3*1(0),0.15*0(0),0.1*71(0),0.045*11(0),0.015*0(0)
0.45*0(0),0.3*4(0),0.15*0(0),0.1*64(0),0.045*10(0),0.015*0(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*49(0),0.045*16(0),0.015*0(0)
0.45*0(0),0.3*1(0),0.15*0(0),0.1*58(0),0.045*20(0),0.015*0(0)
0.45*0(0),0.3*3(0),0.15*0(0),0.1*63(0),0.045*13(0),0.015*0(0)
0.45*0(0),0.3*1(0),0.15*0(0),0.1*66(0),0.045*13(0),0.015*0(0)
0.45*0(0),0.3*1(0),0.15*0(0),0.1*43(0),0.045*15(0),0.015*0(0)
0.45*0(0),0.3*1(0),0.15*7(0),0.1*58(0),0.045*15(0),0.015*0(0)
0.45*0(0),0.3*1(0),0.15*0(0),0.1*55(0),0.045*15(0),0.015*0(0)
0.45*0(0),0.3*1(0),0.15*0(0),0.1*51(0),0.045*15(0),0.015*0(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*49(0),0.045*17(0),0.015*0(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*40(0),0.045*21(0),0.015*0(0)
