0.45*0(0),0.3*0(0),0.15*0(0),0.1*14(0),0.045*13(0),0.015*37(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*42(0),0.045*0(0),0.015*26(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*6(0),0.045*32(0),0.015*27(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*52(0),0.045*0(0),0.015*6(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*34(0),0.045*13(0),0.015*18(0)
0.45*0(0),0.3*0(0),0.15*3(0),0.1*8(0),0.045*51(0),0.015*8(0)
0.45*0(0),0.3*0(0),0.15*3(0),0.1*6(0),0.045*12(0),0.015*43(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*32(0),0.045*5(0),0.015*27(0)
0.45*13(0),0.3*0(0),0.15*0(0),0.1*31(0),0.045*17(0),0.015*4(0)
0.45*0(0),0.3*0(0),0.15*6(0),0.1*13(0),0.045*23(0),0.015*32(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*6(0),0.045*14(0),0.015*45(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*8(0),0.045*55(0),0.015*0(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*34(0),0.045*24(0),0.015*9(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*39(0),0.045*5(0),0.015*20(0)
0.45*0(0),0.3*0(0),0.15*2(0),0.1*22(0),0.045*37(0),0.015*8(0)
0.45*0(0),0.3*0(0),0.15*25(0),0.1*8(0),0.045*21(0),0.015*13(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*21(0),0.045*34(0),0.015*15(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*38(0),0.045*20(0),0.015*11(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*64(0),0.045*2(0),0.015*0(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*52(0),0.045*5(0),0.015*14(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*5(0),0.045*3(0),0.015*53(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*7(0),0.045*7(0),0.015*57(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*38(0),0.045*20(0),0.015*5(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*33(0),0.045*0(0),0.015*29(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*31(0),0.045*23(0),0.015*10(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*32(0),0.045*24(0),0.015*13(0)
0.45*0(0),0.3*3(0),0.15*0(0),0.1*41(0),0.045*4(0),0.015*14(0)
0.45*0(0),0.3*0(0),0.15*18(0),0.1*16(0),0.045*19(0),0.015*13(0)
0.45*0(0),0.3*3(0),0.15*1(0),0.1*36(0),0.045*5(0),0.015*17(0)
0.45*0(0),0.3*4(0),0.15*0(0),0.1*38(0),0.045*9(0),0.015*12(0)
0.45*0(0),0.3*2(0),0.15*0(0),0.1*30(0),0.045*9(0),0.015*15(0)
0.45*0(0),0.3*3(0),0.15*1(0),0.1*15(0),0.045*16(0),0.015*10(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*37(0),0.045*18(0),0.015*8(0)
0.45*0(0),0.3*3(0),0.15*0(0),0.1*23(0),0.045*21(0),0.015*17(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*3(0),0.045*0(0),0.015*65(0)
0.45*0(0),0.3*0(0),0.15*24(0),0.1*9(0),0.045*0(0),0.015*30(0)
0.45*0(0),0.3*0(0),0.15*5(0),0.1*37(0),0.045*12(0),0.015*8(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*13(0),0.045*21(0),0.015*35(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*29(0),0.045*4(0),0.015*25(0)
0.45*0(0),0.3*0(0),0.15*4(0),0.1*25(0),0.045*13(0),0.015*20(0)
0.45*0(0),0.3*1(0),0.15*0(0),0.1*30(0),0.045*4(0),0.015*25(0)
0.45*0(0),0.3*3(0),0.15*0(0),0.1*20(0),0.045*18(0),0.015*21(0)
